pdate,MaxLevel
"1970-04-26 00:00:00",672.25
"1970-04-25 00:00:00",672.33
"1970-04-24 00:00:00",672.39
"1970-04-23 00:00:00",672.77
"1970-04-22 00:00:00",673.04
"1970-04-21 00:00:00",673.28
"1970-04-20 00:00:00",673.61
"1970-04-19 00:00:00",673.25
"1970-04-18 00:00:00",672.94
"1970-04-17 00:00:00",672.77
"1970-04-16 00:00:00",673.02
"1970-04-15 00:00:00",672.81
"1970-04-14 00:00:00",672.89
"1970-04-13 00:00:00",673.02
"1970-04-12 00:00:00",673.5
"1970-04-11 00:00:00",673.56
"1970-04-10 00:00:00",673.36
"1970-04-09 00:00:00",672.95
"1970-04-08 00:00:00",673.08
"1970-04-07 00:00:00",673.39
"1970-04-06 00:00:00",673.95
"1970-04-05 00:00:00",673.95
"1970-04-04 00:00:00",674.04
"1970-04-03 00:00:00",674.12
"1970-04-02 00:00:00",674.45
"1970-04-01 00:00:00",674.78
"1970-03-31 00:00:00",674.85
"1970-03-30 00:00:00",675.36
"1970-03-29 00:00:00",675.14
"1970-03-28 00:00:00",675.02
"1970-03-27 00:00:00",674.88
"1970-03-26 00:00:00",674.89
"1970-03-25 00:00:00",675.19
"1970-03-24 00:00:00",675.33
"1970-03-23 00:00:00",675.53
"1970-03-22 00:00:00",675.56
"1970-03-21 00:00:00",675.51
"1970-03-20 00:00:00",675.32
"1970-03-19 00:00:00",675.37
"1970-03-18 00:00:00",675.24
"1970-03-17 00:00:00",675.13
"1970-03-16 00:00:00",675.07
"1970-03-15 00:00:00",675.04
"1970-03-14 00:00:00",674.85
"1970-03-13 00:00:00",674.83
"1970-03-12 00:00:00",674.88
"1970-03-11 00:00:00",674.79
"1970-03-10 00:00:00",674.69
"1970-03-09 00:00:00",674.58
"1970-03-08 00:00:00",674.41
"1970-03-07 00:00:00",673.81
"1970-03-06 00:00:00",673.37
"1970-03-05 00:00:00",673.35
"1970-03-04 00:00:00",673.28
"1970-03-03 00:00:00",673.34
"1970-03-02 00:00:00",673.39
"1970-03-01 00:00:00",673.14
"1970-02-28 00:00:00",672.81
"1970-02-27 00:00:00",672.28
"1970-02-26 00:00:00",671.93
"1970-02-25 00:00:00",671.73
"1970-02-24 00:00:00",671.1
"1970-02-23 00:00:00",670.67
"1970-02-22 00:00:00",670.59
"1970-02-21 00:00:00",670.28
"1970-02-20 00:00:00",670.1
"1970-02-19 00:00:00",670.19
"1970-02-18 00:00:00",670.47
"1970-02-17 00:00:00",670.53
"1970-02-16 00:00:00",670.79
"1970-02-15 00:00:00",670.71
"1970-02-14 00:00:00",670.56
"1970-02-13 00:00:00",670.47
"1970-02-12 00:00:00",670.47
"1970-02-11 00:00:00",670.62
"1970-02-10 00:00:00",670.64
"1970-02-09 00:00:00",670.78
"1970-02-08 00:00:00",670.79
"1970-02-07 00:00:00",670.43
"1970-02-06 00:00:00",670.08
"1970-02-05 00:00:00",670.24
"1970-02-04 00:00:00",670.31
"1970-02-03 00:00:00",670.25
"1970-02-02 00:00:00",670.69
"1970-02-01 00:00:00",670.65
"1970-01-31 00:00:00",670.05
"1970-01-30 00:00:00",669.74
"1970-01-29 00:00:00",669.42
"1970-01-28 00:00:00",669.61
"1970-01-27 00:00:00",669.71
"1970-01-26 00:00:00",669.97
"1970-01-25 00:00:00",670.04
"1970-01-24 00:00:00",669.84
"1970-01-23 00:00:00",669.77
"1970-01-22 00:00:00",669.71
"1970-01-21 00:00:00",669.69
"1970-01-20 00:00:00",669.83
"1970-01-19 00:00:00",670.02
"1970-01-18 00:00:00",670.02
"1970-01-17 00:00:00",669.92
"1970-01-16 00:00:00",669.79
"1970-01-15 00:00:00",669.83
"1970-01-14 00:00:00",669.71
"1970-01-13 00:00:00",669.76
"1970-01-12 00:00:00",669.99
"1970-01-11 00:00:00",670.1
"1970-01-10 00:00:00",669.58
"1970-01-09 00:00:00",669.26
"1970-01-08 00:00:00",669.24
"1970-01-07 00:00:00",669.67
"1970-01-06 00:00:00",670.01
"1970-01-05 00:00:00",670.2
"1970-01-04 00:00:00",670.03
"1970-01-03 00:00:00",669.97
"1970-01-02 00:00:00",670.04
"1970-01-01 00:00:00",669.92
"1969-12-31 00:00:00",670.28
"1969-12-30 00:00:00",670.34
"1969-12-29 00:00:00",670.4
"1969-12-28 00:00:00",670.36
"1969-12-27 00:00:00",670.19
"1969-12-26 00:00:00",670.13
"1969-12-25 00:00:00",669.94
"1969-12-24 00:00:00",669.72
"1969-12-23 00:00:00",669.76
"1969-12-22 00:00:00",670.13
"1969-12-21 00:00:00",670.12
"1969-12-20 00:00:00",669.8
"1969-12-19 00:00:00",669.76
"1969-12-18 00:00:00",669.89
"1969-12-17 00:00:00",670.14
"1969-12-16 00:00:00",670.47
"1969-12-15 00:00:00",670.7
"1969-12-14 00:00:00",670.54
"1969-12-13 00:00:00",670.39
"1969-12-12 00:00:00",670.01
"1969-12-11 00:00:00",669.88
"1969-12-10 00:00:00",669.95
"1969-12-09 00:00:00",669.65
"1969-12-08 00:00:00",669.23
"1969-12-07 00:00:00",668.67
"1969-12-06 00:00:00",667.92
"1969-12-05 00:00:00",667.11
"1969-12-04 00:00:00",666.21
"1969-12-03 00:00:00",666.58
"1969-12-02 00:00:00",666.67
"1969-12-01 00:00:00",666.88
"1969-11-30 00:00:00",666.76
"1969-11-29 00:00:00",666.51
"1969-11-28 00:00:00",666.44
"1969-11-27 00:00:00",665.94
"1969-11-26 00:00:00",665.59
"1969-11-25 00:00:00",665.53
"1969-11-24 00:00:00",665.61
"1969-11-23 00:00:00",665.37
"1969-11-22 00:00:00",665.3
"1969-11-21 00:00:00",665.01
"1969-11-20 00:00:00",665
"1969-11-19 00:00:00",664.96
"1969-11-18 00:00:00",665.73
"1969-11-17 00:00:00",665.17
"1969-11-16 00:00:00",665.49
"1969-11-15 00:00:00",664.56
"1969-11-14 00:00:00",664.13
"1969-11-13 00:00:00",664.34
"1969-11-12 00:00:00",664.45
"1969-11-11 00:00:00",664.63
"1969-11-10 00:00:00",664.77
"1969-11-09 00:00:00",664.73
"1969-11-08 00:00:00",664.58
"1969-11-07 00:00:00",664.47
"1969-11-06 00:00:00",664.39
"1969-11-05 00:00:00",664.39
"1969-11-04 00:00:00",663.95
"1969-11-03 00:00:00",664.04
"1969-11-02 00:00:00",664.56
"1969-11-01 00:00:00",663.71
"1969-10-31 00:00:00",663.56
"1969-10-30 00:00:00",663.49
"1969-10-29 00:00:00",663.09
"1969-10-28 00:00:00",662.66
"1969-10-27 00:00:00",662.54
"1969-10-26 00:00:00",662.31
"1969-10-25 00:00:00",662.28
"1969-10-24 00:00:00",662.26
"1969-10-23 00:00:00",662.3
"1969-10-22 00:00:00",662.38
"1969-10-21 00:00:00",662.62
"1969-10-20 00:00:00",663.02
"1969-10-19 00:00:00",663.15
"1969-10-18 00:00:00",662.87
"1969-10-17 00:00:00",662.72
"1969-10-16 00:00:00",662.62
"1969-10-15 00:00:00",662.69
"1969-10-14 00:00:00",662.53
"1969-10-13 00:00:00",662.21
"1969-10-12 00:00:00",661.94
"1969-10-11 00:00:00",660.89
"1969-10-10 00:00:00",660.78
"1969-10-09 00:00:00",660.63
"1969-10-08 00:00:00",659.94
"1969-10-07 00:00:00",659.85
"1969-10-06 00:00:00",659.21
"1969-10-05 00:00:00",658.37
"1969-10-04 00:00:00",656.44
"1969-10-03 00:00:00",656.54
"1969-10-02 00:00:00",656.7
"1969-10-01 00:00:00",657.01
"1969-09-30 00:00:00",657.33
"1969-09-29 00:00:00",657.85
"1969-09-28 00:00:00",657.99
"1969-09-27 00:00:00",657.83
"1969-09-26 00:00:00",657.66
"1969-09-25 00:00:00",657.74
"1969-09-24 00:00:00",657.65
"1969-09-23 00:00:00",656.81
"1969-09-22 00:00:00",656.6
"1969-09-21 00:00:00",656.6
"1969-09-20 00:00:00",656.5
"1969-09-19 00:00:00",656.36
"1969-09-18 00:00:00",656.5
"1969-09-17 00:00:00",656.55
"1969-09-16 00:00:00",657.15
"1969-09-15 00:00:00",657.97
"1969-09-14 00:00:00",657.97
"1969-09-13 00:00:00",657.9
"1969-09-12 00:00:00",657.89
"1969-09-11 00:00:00",657.56
"1969-09-10 00:00:00",657.49
"1969-09-09 00:00:00",657.69
"1969-09-08 00:00:00",657.97
"1969-09-07 00:00:00",657.96
"1969-09-06 00:00:00",657.91
"1969-09-05 00:00:00",657.64
"1969-09-04 00:00:00",657.47
"1969-09-03 00:00:00",657.33
"1969-09-02 00:00:00",657.41
"1969-09-01 00:00:00",657.76
"1969-08-31 00:00:00",657.04
"1969-08-30 00:00:00",656.17
"1969-08-29 00:00:00",655.23
"1969-08-28 00:00:00",654.19
"1969-08-27 00:00:00",652.81
"1969-08-26 00:00:00",650.25
"1969-08-25 00:00:00",647.48
"1969-08-24 00:00:00",644.45
"1969-08-23 00:00:00",644.57
"1969-08-22 00:00:00",644.98
"1969-08-21 00:00:00",644.71
"1969-08-20 00:00:00",642.77
"1969-08-19 00:00:00",643.43
"1969-08-18 00:00:00",644.43
"1969-08-17 00:00:00",643.63
"1969-08-16 00:00:00",643.66
"1969-08-15 00:00:00",643.47
"1969-08-14 00:00:00",643.46
"1969-08-13 00:00:00",643.96
"1969-08-12 00:00:00",644.84
"1969-08-11 00:00:00",645.85
"1969-08-10 00:00:00",646.36
"1969-08-09 00:00:00",646.17
"1969-08-08 00:00:00",645.98
"1969-08-07 00:00:00",646.17
"1969-08-06 00:00:00",646.77
"1969-08-05 00:00:00",646.86
"1969-08-04 00:00:00",648.12
"1969-08-03 00:00:00",648.17
"1969-08-02 00:00:00",648.01
"1969-08-01 00:00:00",648.27
"1969-07-31 00:00:00",648.48
